,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Klebsiella_oxytoca,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-8.51918994357715,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-4.57240596204432,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Klebsiella_pneumoniae,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-7.38703173057448,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-3.62553183270172,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Klebsiella_quasipneumoniae,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-8.7339912198523,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-5.96477536780022,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Klebsiella_variicola,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-7.615605955854,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-3.25820970245017,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Raoultella_planticola,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-8.95527744019361,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Hafnia_paralvei,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-5.92720295379524,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Morganella_morganii,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-7.10798894478738,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Proteus_hauseri,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-7.61988309740328,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-8.90168053473152,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Proteus_mirabilis,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-4.80959811803243,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Haemophilus_haemolyticus,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-11.995604285826,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Haemophilus_parainfluenzae,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-9.96542756045864,-9.31002582596692,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-6.77144169487747,-18.6357989783845,-4.95784178201441,-17.8175358631101,-7.34053927668448,-6.43458606703175,-18.8237226518142,-4.35984855334495,-18.1643196741998,-6.70372298077887,-18.4150155268711,-9.8076682863236,-7.00199728982281,-18.3104838853524,-4.77472567315531,-9.0156765722188,-6.7991824947444,-8.57988770600963,-6.42054673233137,-9.25452721146817,-8.38907986640115,-18.5154641486714,-7.55870789302479,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-9.17008170873329,-17.7280754165635,-17.3122326418737,-18.6099767559253,-5.96773722331781,-7.66938031957746,-17.3896046663564,-18.8776958868208,-19.2291130429696,-5.97167055235239,-8.10173500686366,-7.91365484264086
Haemophilus_pittmaniae,-15.5797874846977,-15.8093097850607,-19.4265965441472,-18.595929010573,-18.4808191299283,-17.476526145122,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-18.4893581256777,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-18.3547605754462,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-9.69569325787049,-17.4408144937712,-18.5002815386121,-18.5411214005592,-17.3194781032173,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-18.6671787250848,-17.7280754165635,-17.3122326418737,-18.6099767559253,-17.629349899083,-18.8978318937069,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-19.1066807945178,-17.5506345579566
Haemophilus_sp_HMSC71H05,-15.5797874846977,-15.8093097850607,-19.4265965441472,-12.2311782537211,-18.4808191299283,-8.50051667010058,-17.2768715924679,-18.2997368806393,-17.7530369691524,-18.7849219017669,-19.3927502673139,-17.7072414643245,-18.6357989783845,-8.16515566982649,-17.8175358631101,-17.6703071237094,-18.6137550323622,-18.8237226518142,-5.33799996526243,-18.1643196741998,-17.3708394764133,-18.4150155268711,-17.8851154356548,-18.5795019001054,-18.3104838853524,-18.744133450257,-18.5941954675171,-17.4408144937712,-18.5002815386121,-18.5411214005592,-8.59024275355804,-17.626159535567,-18.5154641486714,-19.0365345381556,-18.5339179965081,-17.5223279116537,-18.8476686982778,-17.8324651270635,-17.7728808552919,-17.448527875355,-17.7011914361004,-19.5668924563938,-18.8471685843989,-18.9374303064935,-18.6880710489984,-18.6959376173395,-19.2384126649297,-18.4902012095704,-8.44374764264071,-17.7280754165635,-17.3122326418737,-18.6099767559253,-6.10656321614094,-8.52025531852076,-17.3896046663564,-18.8776958868208,-19.2291130429696,-17.7341945298173,-9.98178938437411,-7.73265042903442
