,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Anaerostipes_caccae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311700062340012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569999715000143,0.701059789682063,0,0,0.0311499968850003,0,0,0,0,0,0.0136500027300005,0,0,0,0,0,0,0,0,0,0
Anaerostipes_hadrus,0.382639923472015,0,0.242130024213002,0.509649796140082,0.0412500041250004,0.190519980948002,3.54681893595432,0.168759966248007,0.19859,0.07711,0.03834,8.43390084339008,0.150919954724014,0.0387099806450097,0.518629844411047,0.594330059433006,1.44683985531601,1.26310974737805,0.49109009821802,0.544440054444005,0.123489987651001,0.245259852844088,0.06498,0.362940036294004,0.00457999816800073,3.23130870747652,0.405699959430004,0.19797,0.462580046258005,6.04614637231218,0,0.0695200139040028,0.392869882139035,0.547879616484269,0.366209926758015,0.739889926011007,0.172309982769002,0.797749601125199,0.807199677120129,0.423939788030106,0,0.153780015378002,0.886300620410434,0,0.644620128924026,1.14495942752029,4.22329873301038,0.078100023430007,1.21179012117901,3.28982065796413,0.0338000067600013,0.0215299978470002,0.25946,0,0.236059976394002,0.228979954204009,0.345330069066014,0.564480056448006,0.0192700038540008,0.708430141686028
Anaerotignum_lactatifermentans,0,0,0,0,0,0,0,0,0,0,0,0.186110018611002,0,0,0,0.0388100038810004,0,0.0235799952840009,0,0,0,0.114189931486041,0,0,0.0229699908120037,0,0.0189399981060002,0.03376,0,0.256529846082092,0.0517100051710005,0.00705000141000028,0,0,0,0,0,0,0.152199939120024,0,0,0.235780023578002,0,0,0,0.0546899726550137,0,0.0807100242130073,0.0102700010270001,0,0,0,0,0.04229,0,0,0,0,0,0.104140020828004
Blautia_coccoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909999727000082,0,0,0.00179999982000002,0,0,0,0.000300000090000027,0,0,0,0,0,0,0,0,0,0,0,0.00834000166800034
Blautia_hansenii,0,0,0.499520049952005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651599869680026,0,0,0,0,0,0,0,0.000929999628000149,0,0,0,0,0,0,0.0123599962920011,0.124939912542061,0,0,0,0,0.000769999692000123,0,0.00679999796000061,0,0.00151000105700074,0,0,0,0.520219843934047,0,0,0,0,0,0,0.09795,0,0,0,0,0,0.000570000114000023
Blautia_hydrogenotrophica,0,0,0.00744000074400008,0,0.0452400045240005,0.00592999940700006,0.00739999778000067,0.0825399834920033,0.00931,0,0.031,0,0.0456399863080041,0,0.00910999726700082,0.00105000010500001,0.100479989952001,0,0,0.0421900042190004,0,0.00263999841600095,0.00325,0,0,0,0.0250199974980002,0,0,0,0,0,0.0134299959710012,0.0443799689340217,0,0.0343699965630003,0.00848999915100008,0.0007999996000002,0.0175399929840028,0.00274999862500069,0,0.0322400032240003,0,0.00166999983300002,0.0327900065580013,0.0611699694150153,0,0,0.0918000091800009,0.025150005030001,0.00635000127000025,0.000809999919000008,0.00727,0.04716,0.0293799970620003,0.00436999912600017,0,0.00190000019000002,0,0.000140000028000006
Blautia_obeum,0,0,0.00816000081600008,0,0.178390017839002,1.34585986541401,0.350189894943032,0.0606199878760024,0.67007,0.00167,0.09782,0.451950045195005,0.183249945025017,0.844669577665211,0.265439920368024,0,0.185499981450002,0.0320499935900013,0.477660095532019,0.501570050157005,0.0101199989880001,0.50077969953218,0.3363,0.344460034446003,1.54091938363225,0,0.398459960154004,0.00361,0.00848000084800008,0.188029887182068,0,0.0641900128380026,0,0.0356099750730174,0,0.502319949768005,0.444219955578004,0.143739928130036,1.00811959675216,1.22759938620031,0,0.404770040477004,0.0969600678720475,0,2.13905042781009,0.0357299821350089,0.0174499947650016,0,0.0867300086730009,0,0.0365500073100015,0.0419499958050004,0.39666,0.32187,0.0232799976720002,0.0199599960080008,0.0186300037260007,3.05127030512703,0.175390035078007,0
Blautia_producta,0,0,0,0.00354999858000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279999944000011,0,0,0,0,0.01744,0,0,0,0,0,0,0,0.00148000014800001,0,0,0,0,0.00184999981500002,0,0,0,0,0.00918999724300083,0,0,0,0,0,0,0,0,0.000380000076000015,0,0,0,0,0,0,0,0,0,0
Blautia_sp_An249,0,0,0,0,0,0,0.00159999952000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265599946880011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_sp_CAG_257,0,0,0.111020011102001,0,0,0,0.00369999889000033,0,0,0,0.00209,0.0115800011580001,0,0,0,0.0713000071300007,0.00259999974000003,0.0774099845180031,0,0.0294000029400003,0,0,0.02821,0,0.12674994930002,0,0.00927999907200009,0,0,0.00501999698800181,0.0611300061130006,0,0.0576699826990052,0.99988930007749,0.0262899947420011,0.0656499934350007,0.00111999988800001,0.251319874340063,0.378369848652061,0,0.375119887464034,0,0.0955700668990468,0.0240899975910002,0.00529000105800021,0.04012997993501,0.256609923017023,0.476520142956043,0,0.363380072676015,0,0,0,0.06554,0,0,0,0,0,0.0413300082660017
